,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,
1800,60548,61596,62652,64904,70013,71816,72716,73618,75572,74672,75718,77976,80229,86838,93298,99758,102164,104421,102616,106971,113733,1800,114785,115987,113882,119740,125902,126807,127856,125299,131459,137019,138522,139873,139873,142878,151743,156401,161056,159406,162405,170224,1800
1900,65207,66556,67909,70013,73769,75572,77374,79327,79627,81731,81281,83684,85941,92852,99909,106820,106522,106216,104265,108772,115536,1900,116739,117942,115836,121549,127557,128608,129654,126807,132815,138819,140325,141678,141678,144533,153395,158055,162712,161056,163913,171878,1900
2000,72865,71513,70168,71214,67909,72412,73921,75420,79474,87142,92250,92998,93903,95257,100812,106216,106971,107875,108925,113733,117191,2000,118992,120793,119740,126807,129207,131010,132662,132359,138967,140325,142582,144829,147833,150542,152944,156251,159558,162562,170822,164964,2000
2100,71364,70917,70309,71662,68209,72567,74067,75420,79778,85941,90594,92102,93750,95257,97957,102912,105017,106971,108325,111329,114785,2100,117191,119589,119740,123343,126506,129207,132059,132965,136874,138522,140325,142125,146492,153095,148888,152644,156554,161056,174431,161212,2100
2200,70013,70168,70462,71970,68656,72716,74067,75572,80080,84587,88944,91343,93597,95257,94949,99758,102912,106071,107724,108925,112379,2200,115384,118389,119589,119740,123651,127402,131312,133714,134619,136721,138071,139426,145278,155650,144684,149191,153543,159558,178186,157303,2200
2300,71214,71214,71214,72567,70013,72716,74067,75572,80379,83534,88190,90296,92550,97357,94949,101408,103213,105170,107875,105622,110127,2300,111478,112978,118241,116436,120942,124248,127557,132662,130262,133866,135668,137469,147086,158806,145138,148289,151591,161808,181494,157754,2300
2400,76171,76919,77677,78573,75572,74818,76623,78430,79932,87743,92102,94652,97206,104421,95099,102766,105622,108628,114036,107875,112529,2400,115083,117637,123500,118389,122144,125902,129505,137170,126054,131010,135668,140177,153095,176686,155048,159857,164664,177584,196963,170377,2400
2500,81881,82485,83082,84134,89845,78724,81129,83534,89845,88944,93750,97055,100362,108925,123048,128756,128455,128008,130855,134013,135815,2500,137469,138967,142277,145138,153395,155799,158055,157604,165114,168418,170224,172025,175331,182241,193509,195315,197113,200721,208538,212139,2500
2600,82181,82782,83534,84739,91343,79178,81429,83684,90296,89845,94652,97504,100509,109229,123800,129052,129505,130111,131761,136874,138071,2600,139124,140177,143333,146787,154599,156850,159104,159703,167370,172474,173379,174279,177436,186447,196215,198020,199670,203425,213494,214846,2600
2700,82485,83236,83986,85337,92700,79627,81731,83835,90898,90594,95556,98104,100509,109525,124550,129207,130708,132059,132662,139573,140177,2700,140776,141379,144379,148289,155650,157905,160155,161960,169620,176686,176535,176535,179539,190800,198918,200573,202223,205980,218449,217698,2700
2800,82782,83684,84434,85187,92397,80982,83082,85337,92102,90446,94652,97957,101266,109525,125747,132359,131761,131312,132511,142277,144684,2800,145432,146033,147833,153246,160009,160310,160756,162712,172627,178033,179689,181192,185395,196065,199971,202824,205681,211539,224309,221755,2800
